meeting_id,demo_booked,email,first_name,last_name,company_name,demo_status,rep,demo_scheduled,segment
b41c0784-f7cd-4712-a14e-8e567d71d358,2025/06/22 0:00,janet.thomas@davisconsulting.com,Janet,Thomas,Davis Consulting,No-Show,Riley Davis,25-Jun-25,SMB
105d7a32-431e-4e69-8edc-861c2c1edf4a,05-May-25,wayne.morgan@redwoodgroup.com,Wayne,Morgan,Redwood Group,Held,Casey Miller,06 May 2025,ENT
4c293ad3-65f6-4716-b497-bb0dca41ffc4,18/06/2025,janet.bates@parks-paceglobal.com,Janet,Bates,Parks-Pace Global,No-Show,Alex Smith,02-Jul-25,MM
17213deb-baff-4617-8841-82f2e48b32ca,04/19/2025,angelica.tucker@forgecapital.com,Angelica,Tucker,Forge Capital,Held,Riley Davis,04-21-2025,SMB
a7b5be59-b892-47e0-810e-c50fac881b91,2025/05/14 0:00,james.padilla@lunarservices.com,James,Padilla,Lunar Services,Held,Riley Davis,20250516,SMB
8e365700-1750-4dc3-ad9b-533fe6802542,13-Apr-25,anna.henderson@phoenixpartners.com,Anna,Henderson,Phoenix Partners,No-Show,Casey Miller,14-Apr-25,ENT
be95beac-2be2-4652-9202-38bb7914a5ed,08/07/2025,melissa.brewer@cascadegroup.com,Melissa,Brewer,Cascade Group,Scheduled,Morgan Brown,2025/07/21 0:00,SMB
048f07ce-5703-4710-8690-b55ae77da01e,07 July 2025,laura.wright@jennings-dynamics.com,Laura,Wright,Jennings Dynamics,Scheduled,Taylor Lee,20250720,MM
6eab8b4d-c31d-486d-a7a5-fae1d29c3b58,19 May 2025,jason.rhodes@vertexlabs.com,Jason,Rhodes,Vertex Labs,Canceled,Riley Davis,05/24/2025,SMB
6b1e383c-a41d-4ad0-bbc6-f14c46a8fbc1,06-Jul-25,denise.jacobs@bluelabs.com,Denise,Jacobs,Blue Labs,Scheduled,Morgan Brown,19/07/2025,MM
543d6551-4c4f-4933-8ffa-6edafc5d0c6d,07-01-2025,timothy.garza@williamsenterprises.com,Timothy,Garza,Williams Enterprises,Scheduled,Alex Smith,07/16/2025,MM
72d16446-0d96-4bee-946f-65cc958d9517,2025/06/24 0:00,michael.jones@bradford-enterprises.com,Michael,Jones,Bradford Enterprises,No-Show,Casey Miller,28 June 2025,ENT
942cf572-b83b-4789-a158-f7a899c807b2,07-08-2025,michael.buchanan@haynes-mossnetworks.com,Michael,Buchanan,Haynes-Moss Networks,Scheduled,Morgan Brown,26 July 2025,MM
146dfa20-f4c3-4270-b079-58395b795d26,06/20/2025,lacey.jones@cranetechnologies.com,Lacey,Jones,Crane Technologies,No-Show,Casey Miller,20250623,ENT
68322c76-4024-4e84-bcf3-67f2302d5e49,14-Apr-25,fred.smith@velocitydynamics.com,Fred,Smith,Velocity Dynamics,no show,Morgan Brown,19/04/2025,MM
7ad8ebe2-f4c3-45b5-aa9c-7c44eea6ab88,30 June 2025,andrea.barber@austin-dynamics.com,Andrea,Barber,Austin Dynamics,No-Show,Morgan Brown,2025/07/10 0:00,MM
a23e11b3-cfe9-4f9b-990f-3fd1835958a7,2025/07/12 0:00,elizabeth.daniel@franco-solutions.com,Elizabeth,Daniel,Franco Solutions,Scheduled,Jordan Johnson,01-Aug-25,MM
c629b022-14f9-44d2-9b1d-02a210069ece,06/07/2025,james.brown@silvercapital.com,James,Brown,Silver Capital,No-Show,Morgan Brown,06-26-2025,MM
